GEO_sample_ID	cell_line	miR
GSM1154161	PC3	miR-145
GSM1154163	DU145	miR-145
GSM1154165	LNCap	miR-145
GSM1154167	FaDu	miR-375
GSM1154178	PC3	miR-23b
GSM1154180	PC3	miR-24
GSM1154182	PC3	miR-27b
GSM1154184	SAS	miR-29a
GSM1154186	DU145	miR-143
GSM1154188	PC3	miR-143
GSM1154192	786O	miR-27b
GSM1154193	A498	miR-27b
GSM1357594	BOY-GFP	miR-218
GSM1357595	BOY-GFP	miR-24
GSM1357596	T24	miR-24
GSM1357597	PC3	miR-218
GSM1357599	FaDu	miR-144
GSM1357600	FaDu	miR-451
GSM1357601	LNCap	miR-221
GSM1357602	LNCap	miR-222
GSM1357603	PC3	miR-221
GSM1357604	PC3	miR-222
GSM1357605	PC3	miR-224
GSM1357606	DU145	miR-221
GSM1357607	DU145	miR-222
GSM1357608	DU145	miR-224
GSM1357611	EBC-1	miR-1
GSM1357612	EBC-1	miR-133a
GSM1357613	SK-MES-1	miR-1
GSM1357614	SK-MES-1	miR-133a
GSM1357615	PC3	miR-452
GSM1357616	DU145	miR-452
GSM1623420	PC3	miR-205
GSM1623421	DU145	miR-205
GSM1623422	C4-2	miR-205
GSM1623423	786-O	miR-29a
GSM1623424	A-498	miR-29a
GSM1623425	T24	miR-451
GSM1623426	T24	miR-144-3p
GSM1623427	T24	miR-144-5p
GSM1623434	786-O	miR-210
GSM1623435	786-O	miR-210
GSM1623436	BOY	miR-145-5p
GSM1623437	BOY	miR-145-3p
GSM1623438	T24	miR-145-5p
GSM1623439	T24	miR-145-3p
GSM1623440	786-O	miR-23b
GSM1623444	PC3	miR-221
GSM1623445	PC3	miR-222
GSM1623446	PC3	miR-223
GSM1623447	PC3M	miR-223
GSM2183549	SAS	miR-145-5p
GSM2183550	SAS	miR-145-3p
GSM2183551	FaDu	miR-150-5p
GSM2183552	FaDu	miR-150-3p
GSM2183555	EBC-1	miR-150-5p
GSM2183556	EBC-1	miR-150-3p
GSM2183557	PANC-1	miR-216b-3p
GSM2183558	SW1990	miR-216b-3p
GSM2279805	FaDu	miR-99a-5p
GSM2279806	FaDu	miR-99a-3p
GSM2279807	PC3	miR-150-5p
GSM2279808	PC3	miR-150-3p
GSM2279809	PC3	miR-99a-3p
GSM2279810	PC3	miR-100-3p
GSM2692407	A498	miR-149-5p
GSM2692408	A498	miR-149-3p
GSM2692409	PC3	miR-455-5p
GSM2692410	PC3	miR-455-3p
GSM2850316	786-O	miR-455-3p
GSM2850317	786-O	miR-455-5p
GSM2850320	SAS	miR-135-5p
GSM2850321	SAS	miR-135-3p
GSM2850322	PC3	miR-184
GSM2850323	PC3	miR-30a-5p
GSM2850324	PC3	miR-30a-3p
GSM2850325	T24	miR-107
GSM2850326	T24	miR-185-5p
GSM2850327	T24	miR-320b
GSM2850328	T24	miR-320c
GSM2850329	PC3	miR-199-3p
GSM2859381	T24	miR-223-3p
GSM2859382	T24	miR-223-5p
GSM2859385	A549	miR-145-5p
GSM2859386	A549	miR-145-3p
GSM2859387	TE8	miR-145-5p
GSM2859388	TE8	miR-145-3p
GSM492572	KK47	miR-133a
GSM492573	KK47	miR-145
GSM492574	T24	miR-133a
GSM492575	T24	miR-145
GSM492576	FaDu	miR-489
GSM492577	FaDu	miR-504
GSM492578	HSC3	miR-489
GSM492579	HSC3	miR-504
GSM500945	SAS	miR-133a
GSM500946	TE2	miR-145
GSM500947	HSC3	miR-133a
GSM500948	TE13	miR-145
GSM610386	BOY	miR-517a
GSM610387	T24	miR-517a
GSM610388	BOY	miR-218
GSM610389	T24	miR-218
GSM610390	BOY	miR-1
GSM610391	T24	miR-1
GSM610392	A498	miR-1
GSM610393	HSC3	miR-1
GSM610394	FaDu	miR-1
GSM610395	IMC3	miR-874
GSM610396	SAS	miR-874
GSM610397	PC3	miR-145
GSM610398	DU145	miR-145
GSM639289	KK47	miR-96
GSM639290	KK47	miR-183
GSM639291	T24	miR-96
GSM639292	T24	miR-183
GSM639293	H157	miR-133a
GSM639294	P10	miR-133a
GSM639295	A498	miR-133a
GSM639296	A498	miR-135a
GSM639297	IMC3	miR-1
GSM639298	IMC3	miR-133a
GSM639299	SAS	miR-375
GSM639300	FaDu	miR-375
GSM639301	DU145	miR-1
GSM639302	DU145	miR-133a
GSM639303	PC3	miR-1
GSM639304	PC3	miR-133a
GSM911052	IMC-3	miR-375
GSM911053	IMC-3	miR-145
GSM911056	SAS	miR-874
GSM911057	FaDu	miR-874
GSM911058	PC3	miR-31
GSM911059	PC3	miR-222
GSM911060	T.Tn	miR-375
GSM911061	TE2	miR-375
GSM911064	A498	miR-1285
GSM911065	786-O	miR-1285
GSM911068	A498	miR-206
GSM911069	A498	miR-200c
GSM911070	A498	miR-429
GSM911071	A498	miR-218
GSM911072	A498	miR-200a
GSM911073	A498	miR-200b
GSM911074	A498	miR-141
GSM911075	A498	miR-138
GSM911076	FaDu	miR-218
GSM911077	SAS	miR-218
GSM911078	A498	miR-200a
GSM911079	A498	miR-200b
GSM911080	A498	miR-200c
GSM911081	A498	miR-141
GSM911082	A498	miR-429
GSM911083	A498	miR-1291
GSM911084	786-O	miR-1291
GSM911085	FaDu	miR-504
GSM911086	SAS	miR-504
